S,id,areaname,parentid,shortname,level,sort,lng,lat,pop,GDP
,140100,抚州市,360000,抚州,2,1,116.358353,27.98385,391.2307,
,140200,滨州市,370000,滨州,2,1,118.016975,37.383541,374.8474,
,140400,恩施土家族苗族自治州,420000,恩施,2,1,109.486992,30.283113,329.0294,
,140600,潮州市,440000,潮州,2,1,116.632301,23.661701,266.9466,
,140700,北海市,450000,北海,2,1,109.119255,21.473343,153.9251,
,140800,白沙黎族自治县,460000,白沙,2,1,109.452606,19.224585,18,
,141000,阿坝藏族羌族自治州,510000,阿坝,2,1,102.221375,31.899792,89.8708,
,141100,安顺市,520000,安顺,2,1,105.93219,26.245544,229.7612,
,150100,保山市,530000,保山,2,1,99.16713,25.111801,250.6491,
,150200,阿里地区,540000,阿里,2,1,80.105499,32.503185,9.55,
,150300,安康市,610000,安康,2,1,109.029274,32.6903,262.9906,
,150400,白银市,620000,白银,2,1,104.173607,36.545681,170.88,311.18
,150500,果洛藏族自治州,630000,果洛,2,1,100.242142,34.473598,13.79,20.43
,150600,固原市,640000,固原,2,1,106.28524,36.004562,122.82,104.03
,150700,阿克苏地区,650000,阿克苏,2,1,80.265068,41.170712,214,396.12
,150800,高雄市,710000,高雄,2,1,121.509064,25.044333,277.9332,3688.6
,150900,九龙,810000,九龙,2,1,114.173355,22.320047,210.8419,1003.57
,152200,澳门半岛,820000,澳门半岛,2,1,113.549133,22.198751,46.9,3559
,152900,大同市,140000,大同,2,2,113.295258,40.090309,332,696
,210100,包头市,150000,包头,2,2,109.840408,40.658169,,
,210200,本溪市,210000,本溪,2,2,123.770515,41.297909,,
,210300,白山市,220000,白山,2,2,126.427841,41.942505,,
,210400,大兴安岭地区,230000,大兴安岭,2,2,124.711525,52.335262,,
,210600,湖州市,330000,湖州,2,2,120.102402,30.867199,,
,210700,蚌埠市,340000,蚌埠,2,2,117.363228,32.939667,,
,210800,龙岩市,350000,龙岩,2,2,117.029778,25.091602,,
,211100,鹤壁市,410000,鹤壁,2,2,114.295441,35.748238,,
,211200,鄂州市,420000,鄂州,2,2,114.890594,30.396536,,
,220100,百色市,450000,百色,2,2,106.616287,23.897741,,
,220200,保亭黎族苗族自治县,460000,保亭,2,2,109.702454,18.636372,,
,220300,巴中市,510000,巴中,2,2,106.75367,31.858809,,
,220500,楚雄彝族自治州,530000,楚雄,2,2,101.546043,25.041988,,
,220600,昌都地区,540000,昌都,2,2,97.178452,31.136875,,
,220700,宝鸡市,610000,宝鸡,2,2,107.144867,34.369316,,
,220800,定西市,620000,定西,2,2,104.626297,35.579578,,
,222400,海北藏族自治州,630000,海北,2,2,100.901062,36.959435,,
,230100,石嘴山市,640000,石嘴山,2,2,106.376175,39.013329,,
,230200,阿拉尔市,650000,阿拉尔,2,2,81.285881,40.541916,,
,230300,花莲县,710000,花莲,2,2,121.509064,25.044333,,
,230400,香港岛,810000,香港岛,2,2,114.173355,22.320047,,
,230500,离岛,820000,离岛,2,2,113.549088,22.198952,,
,230600,承德市,130000,承德,2,3,117.939156,40.976204,,
,230700,晋城市,140000,晋城,2,3,112.851273,35.497555,,
,230800,巴彦淖尔市,150000,巴彦淖尔,2,3,107.416962,40.757401,,
,230900,朝阳市,210000,朝阳,2,3,120.45118,41.576759,,
,310100,亳州市,340000,亳州,2,3,115.782936,33.869339,,
,320100,南平市,350000,南平,2,3,118.178459,26.635628,,
